date,year,prices,market_caps,total_volumes,v_porcentual_d,MM65
2021-06-24,2021,1.6480000000000001,46824107.71488924,2845429.742045659,13.99322127689009,2.4625538461538463
2021-06-25,2021,1.7251,49102865.96374668,731571.5283348905,4.678398058252431,2.4738384615384614
2021-06-26,2021,1.4815,42092778.64696388,980188.2418064132,-14.120920526346303,2.482076923076923
2021-06-27,2021,1.4473,41067041.887407966,398564.174817158,-2.308471144110702,2.4902169230769227
2021-06-28,2021,1.6087,45693089.41350992,1536061.4766258115,11.151799903268156,2.501536923076923
2021-06-29,2021,1.6885,47945368.48517811,268608.9864663548,4.960527133710446,2.513707692307692
2021-06-30,2021,1.7303000000000002,49211842.010780536,631405.8220656846,2.4755700325733043,2.5253923076923077
2021-07-01,2021,1.6785999999999999,47729297.1199651,2280892.121883689,-2.9879211697393715,2.536156923076923
2021-07-02,2021,1.5739,44716068.60062056,341097.2662599896,-6.237340641010358,2.5390861538461538
2021-07-03,2021,1.5438,43750499.29740504,1884480.8160005577,-1.9124467882330576,2.5341553846153846
2021-07-04,2021,1.6182,45556464.50695169,351230.7837137513,4.819277108433728,2.5295323076923077
2021-07-05,2021,1.7187999999999999,48861584.81051932,630875.4835379288,6.216784081077731,2.512095384615385
2021-07-06,2021,1.5928,45354972.9762957,194184.00758268303,-7.3306958343029915,2.4953030769230766
2021-07-07,2021,1.9814,56275576.277301244,2504049.166900066,24.397287795077858,2.490193846153846
2021-07-08,2021,2.1183,60306742.92634408,2787812.684848328,6.909256081558501,2.4847861538461538
2021-07-09,2021,1.967,55693871.95009451,1951619.4153064447,-7.142519945239101,2.482241538461538
2021-07-10,2021,1.9952,56602637.509975165,1131852.7324028334,1.4336553126588658,2.4664676923076922
2021-07-11,2021,1.9574,55661531.48319715,559935.2750358221,-1.8945469125902226,2.4423969230769234
2021-07-12,2021,1.9198,54544486.90687405,421512.0659430361,-1.920915500153264,2.4140938461538464
2021-07-13,2021,1.7658,50261241.12412633,593763.3441892856,-8.021668923846226,2.3616676923076922
2021-07-14,2021,1.6234000000000002,46158943.39494981,838171.5698143177,-8.06433344659644,2.312103076923077
2021-07-15,2021,1.5823,45041379.309102856,1006549.188412347,-2.531723543180986,2.264870769230769
2021-07-16,2021,1.5917,45249690.49028566,808792.4140924639,0.5940719206218636,2.217415384615385
